Binary,Compiler,Flags,N,M,T,Iterations,Section,Cycles,Performance,Variable
no_opt,g++,O1,2,256,4096,50,baum_welch,1803015682,0.17930063239461053,0
no_opt,g++,O1,2,256,4096,50,forward_vars,65320505,0.05159173218271965,0
no_opt,g++,O1,2,256,4096,50,backward_vars,54165513,0.0513677955934803,0
no_opt,g++,O1,2,256,4096,50,update_initial,42206834,0.00038818358183416457,0
no_opt,g++,O1,2,256,4096,50,update_transition,65322101,0.08442161099502908,0
no_opt,g++,O1,2,256,4096,50,update_emission,1359966858,0.22912213497485098,0
no_opt,g++,O1,4,256,4096,50,baum_welch,1523801903,0.44528725857615625,0
no_opt,g++,O1,4,256,4096,50,forward_vars,75215703,0.15278285705845226,0
no_opt,g++,O1,4,256,4096,50,backward_vars,68060594,0.15329974933806778,0
no_opt,g++,O1,4,256,4096,50,update_initial,43567332,0.0007521231733905578,0
no_opt,g++,O1,4,256,4096,50,update_transition,67357089,0.3346391943986772,0
no_opt,g++,O1,4,256,4096,50,update_emission,1044224245,0.6071791026074098,0
no_opt,g++,O1,8,256,4096,50,baum_welch,2955746621,0.4869808804900263,0
no_opt,g++,O1,8,256,4096,50,forward_vars,153450322,0.27398848990359237,0
no_opt,g++,O1,8,256,4096,50,backward_vars,135406705,0.2964213108944642,0
no_opt,g++,O1,8,256,4096,50,update_initial,45397394,0.0014436070933939512,0
no_opt,g++,O1,8,256,4096,50,update_transition,140697431,0.6408847436596052,0
no_opt,g++,O1,8,256,4096,50,update_emission,2245588146,0.5642061596454473,0
no_opt,g++,O1,16,256,4096,50,baum_welch,5556774143,0.5786975439789798,0
no_opt,g++,O1,16,256,4096,50,forward_vars,459296394,0.3504529495609321,0
no_opt,g++,O1,16,256,4096,50,backward_vars,418321429,0.3761439603420364,0
no_opt,g++,O1,16,256,4096,50,update_initial,43949160,0.002982218545246371,0
no_opt,g++,O1,16,256,4096,50,update_transition,426937595,0.8448593078339705,0
no_opt,g++,O1,16,256,4096,50,update_emission,3971774085,0.6386434305464783,0
no_opt,g++,O1,32,256,4096,50,baum_welch,12220604645,0.6357497802842962,0
no_opt,g++,O1,32,256,4096,50,forward_vars,1613961663,0.3903426075368929,0
no_opt,g++,O1,32,256,4096,50,backward_vars,1559828916,0.3993879928816501,0
no_opt,g++,O1,32,256,4096,50,update_initial,43653243,0.006005052133240135,0
no_opt,g++,O1,32,256,4096,50,update_transition,1403238978,1.0282058948051827,0
no_opt,g++,O1,32,256,4096,50,update_emission,7355743636,0.6896911170437099,0
no_opt,g++,O1,64,256,4096,50,baum_welch,36030608136,0.5797912457138772,0
no_opt,g++,O1,64,256,4096,50,forward_vars,7397292532,0.33700201934909774,0
no_opt,g++,O1,64,256,4096,50,backward_vars,7055459422,0.3513686941873535,0
no_opt,g++,O1,64,256,4096,50,update_initial,49654131,0.010558638112103905,0
no_opt,g++,O1,64,256,4096,50,update_transition,6129466300,0.9415655356486746,0
no_opt,g++,O1,64,256,4096,50,update_emission,15098372390,0.6720222768329799,0
no_opt,g++,O1,128,256,4096,50,baum_welch,124632915525,0.5069904874553403,0
no_opt,g++,O1,128,256,4096,50,forward_vars,31130459269,0.31859582880861864,0
no_opt,g++,O1,128,256,4096,50,backward_vars,33971756082,0.29114091323764496,0
no_opt,g++,O1,128,256,4096,50,update_initial,70449559,0.01488371275681087,0
no_opt,g++,O1,128,256,4096,50,update_transition,28315948545,0.8152703292391154,0
no_opt,g++,O1,128,256,4096,50,update_emission,30634670293,0.6624160989791006,0
no_opt,g++,O1,256,256,4096,50,baum_welch,486342499271,0.43591679869800265,0
no_opt,g++,O1,256,256,4096,50,forward_vars,157966221346,0.2504687167222784,0
no_opt,g++,O1,256,256,4096,50,backward_vars,145198932289,0.2721155660040158,0
no_opt,g++,O1,256,256,4096,50,update_initial,108828750,0.019269862053914982,0
no_opt,g++,O1,256,256,4096,50,update_transition,119331847526,0.7738131492590933,0
no_opt,g++,O1,256,256,4096,50,update_emission,63096757867,0.6432300244895244,0
no_opt,g++,O1,512,256,4096,50,baum_welch,1879824720217,0.40776562293931046,0
no_opt,g++,O1,512,256,4096,50,forward_vars,658034253358,0.24018468882806604,0
no_opt,g++,O1,512,256,4096,50,backward_vars,633310168555,0.2493892257823168,0
no_opt,g++,O1,512,256,4096,50,update_initial,138552777,0.03027163432458665,0
no_opt,g++,O1,512,256,4096,50,update_transition,462658417779,0.7983467176197249,0
no_opt,g++,O1,512,256,4096,50,update_emission,125063053404,0.6490437216880219,0
no_opt,g++,O1,1024,256,4096,50,baum_welch,8865505558376,0.32746318462009966,0
no_opt,g++,O1,1024,256,4096,50,forward_vars,3546592823503,0.17813557997869942,0
no_opt,g++,O1,1024,256,4096,50,backward_vars,3313136190167,0.19062180657993602,0
no_opt,g++,O1,1024,256,4096,50,update_initial,240936541,0.03481587709852612,0
no_opt,g++,O1,1024,256,4096,50,update_transition,1753969206922,0.8423439278621856,0
no_opt,g++,O1,1024,256,4096,50,update_emission,250940116358,0.6469376465833638,0
no_opt,g++,O1,256,2,4096,50,baum_welch,351422022135,0.48880186630709144,1
no_opt,g++,O1,256,2,4096,50,forward_vars,145295967690,0.27229256269114566,1
no_opt,g++,O1,256,2,4096,50,backward_vars,116914031757,0.33793183715635977,1
no_opt,g++,O1,256,2,4096,50,update_initial,99637923,0.021046193425770226,1
no_opt,g++,O1,256,2,4096,50,update_transition,87986543470,1.0493947257910166,1
no_opt,g++,O1,256,2,4096,50,update_emission,593438380,0.6218736509761974,1
no_opt,g++,O1,256,4,4096,50,baum_welch,368865887120,0.46626301352732147,1
no_opt,g++,O1,256,4,4096,50,forward_vars,148602425635,0.26612731654957283,1
no_opt,g++,O1,256,4,4096,50,backward_vars,122614190016,0.3219214468639336,1
no_opt,g++,O1,256,4,4096,50,update_initial,94767826,0.02212806907694601,1
no_opt,g++,O1,256,4,4096,50,update_transition,95902371090,0.9622484567185272,1
no_opt,g++,O1,256,4,4096,50,update_emission,1146675783,0.5975641041335221,1
no_opt,g++,O1,256,8,4096,50,baum_welch,368244675939,0.46908198297648707,1
no_opt,g++,O1,256,8,4096,50,forward_vars,152250022763,0.25987065208252447,1
no_opt,g++,O1,256,8,4096,50,backward_vars,120452803956,0.3280173793001346,1
no_opt,g++,O1,256,8,4096,50,update_initial,100377384,0.020891937171823485,1
no_opt,g++,O1,256,8,4096,50,update_transition,92902501678,0.993943461017334,1
no_opt,g++,O1,256,8,4096,50,update_emission,2017587301,0.6537937160618558,1
no_opt,g++,O1,256,16,4096,50,baum_welch,362010327844,0.48066002951159714,1
no_opt,g++,O1,256,16,4096,50,forward_vars,148056290294,0.26723194195554817,1
no_opt,g++,O1,256,16,4096,50,backward_vars,119810406788,0.32977664303329385,1
no_opt,g++,O1,256,16,4096,50,update_initial,99258192,0.021127435003047406,1
no_opt,g++,O1,256,16,4096,50,update_transition,89637908720,1.030144589555748,1
no_opt,g++,O1,256,16,4096,50,update_emission,3884260309,0.6656987885206125,1
no_opt,g++,O1,256,32,4096,50,baum_welch,359821872237,0.4906254309569091,1
no_opt,g++,O1,256,32,4096,50,forward_vars,145444006771,0.2720325689342116,1
no_opt,g++,O1,256,32,4096,50,backward_vars,118406819754,0.33368672473500205,1
no_opt,g++,O1,256,32,4096,50,update_initial,102545559,0.020450617466525295,1
no_opt,g++,O1,256,32,4096,50,update_transition,87752125366,1.0522855931507467,1
no_opt,g++,O1,256,32,4096,50,update_emission,7606606338,0.6729776496289612,1
no_opt,g++,O1,256,64,4096,50,baum_welch,371772007212,0.4884842538761702,1
no_opt,g++,O1,256,64,4096,50,forward_vars,144767274711,0.27330467006431564,1
no_opt,g++,O1,256,64,4096,50,backward_vars,123928467448,0.3188198036869828,1
no_opt,g++,O1,256,64,4096,50,update_initial,105358952,0.019904326686924524,1
no_opt,g++,O1,256,64,4096,50,update_transition,87316689524,1.0575355980212597,1
no_opt,g++,O1,256,64,4096,50,update_emission,15130363778,0.6731989540007212,1
no_opt,g++,O1,256,128,4096,50,baum_welch,398309469536,0.48137961726684564,1
no_opt,g++,O1,256,128,4096,50,forward_vars,146431635066,0.2701982646111062,1
no_opt,g++,O1,256,128,4096,50,backward_vars,131795797590,0.29978837357859645,1
no_opt,g++,O1,256,128,4096,50,update_initial,105937674,0.019795828252751706,1
no_opt,g++,O1,256,128,4096,50,update_transition,89278226437,1.0343001563562748,1
no_opt,g++,O1,256,128,4096,50,update_emission,30142888492,0.6740912648233008,1
no_opt,g++,O1,256,256,4096,50,baum_welch,458151002924,0.4627396372701343,1
no_opt,g++,O1,256,256,4096,50,forward_vars,148379436182,0.26665128467983573,1
no_opt,g++,O1,256,256,4096,50,backward_vars,137616262862,0.28710901882738266,1
no_opt,g++,O1,256,256,4096,50,update_initial,107358189,0.019533768402147694,1
no_opt,g++,O1,256,256,4096,50,update_transition,110632087612,0.8346623091471344,1
no_opt,g++,O1,256,256,4096,50,update_emission,60845345315,0.6670298342935783,1
no_opt,g++,O1,256,512,4096,50,baum_welch,548948397083,0.4600398449106259,1
no_opt,g++,O1,256,512,4096,50,forward_vars,155097108220,0.2551020105215473,1
no_opt,g++,O1,256,512,4096,50,backward_vars,142808225007,0.2766710452010961,1
no_opt,g++,O1,256,512,4096,50,update_initial,99747281,0.021024272330791655,1
no_opt,g++,O1,256,512,4096,50,update_transition,127083982656,0.7266103945920075,1
no_opt,g++,O1,256,512,4096,50,update_emission,123283852900,0.657985686226067,1
no_opt,g++,O1,256,1024,4096,50,baum_welch,692122590679,0.48200240352467094,1
no_opt,g++,O1,256,1024,4096,50,forward_vars,160405304421,0.24665998868813058,1
no_opt,g++,O1,256,1024,4096,50,backward_vars,144227610451,0.2739479499691458,1
no_opt,g++,O1,256,1024,4096,50,update_initial,102940276,0.020372201061516486,1
no_opt,g++,O1,256,1024,4096,50,update_transition,139623966319,0.6613516395604235,1
no_opt,g++,O1,256,1024,4096,50,update_emission,247155565855,0.6562089214011482,1
no_opt,g++,O1,256,256,2048,50,baum_welch,232354320629,0.45620446010234456,2
no_opt,g++,O1,256,256,2048,50,forward_vars,76807835408,0.25755871063044605,2
no_opt,g++,O1,256,256,2048,50,backward_vars,69901315182,0.2826153376308301,2
no_opt,g++,O1,256,256,2048,50,update_initial,51988573,0.020168316602958116,2
no_opt,g++,O1,256,256,2048,50,update_transition,54848412791,0.841767944314624,2
no_opt,g++,O1,256,256,2048,50,update_emission,30461204023,0.6661812293656493,2
no_opt,g++,O1,256,256,4096,50,baum_welch,470548994023,0.4505475074815215,2
no_opt,g++,O1,256,256,4096,50,forward_vars,154756343713,0.25566359270787276,2
no_opt,g++,O1,256,256,4096,50,backward_vars,140648356932,0.2809194503146775,2
no_opt,g++,O1,256,256,4096,50,update_initial,110131919,0.01904170942485802,2
no_opt,g++,O1,256,256,4096,50,update_transition,113139434185,0.8161650444177533,2
no_opt,g++,O1,256,256,4096,50,update_emission,61309768786,0.6619778028304633,2
no_opt,g++,O1,256,256,8192,50,baum_welch,932196183556,0.4548532613462778,2
no_opt,g++,O1,256,256,8192,50,forward_vars,301066353223,0.2628382394308509,2
no_opt,g++,O1,256,256,8192,50,backward_vars,278367018909,0.28387798942457654,2
no_opt,g++,O1,256,256,8192,50,update_initial,218274476,0.019215219648494312,2
no_opt,g++,O1,256,256,8192,50,update_transition,229461554306,0.8048510944178281,2
no_opt,g++,O1,256,256,8192,50,update_emission,121921480249,0.6657717487863732,2
no_opt,g++,O1,256,256,16384,50,baum_welch,1840766535950,0.4606927290860065,2
no_opt,g++,O1,256,256,16384,50,forward_vars,597009095326,0.26509476364942,2
no_opt,g++,O1,256,256,16384,50,backward_vars,550740708816,0.2869682609676165,2
no_opt,g++,O1,256,256,16384,50,update_initial,378396899,0.022168664759591488,2
no_opt,g++,O1,256,256,16384,50,update_transition,448998784104,0.8226435992428992,2
no_opt,g++,O1,256,256,16384,50,update_emission,241416588065,0.6724654155632824,2
no_opt,g++,O1,256,256,32768,50,baum_welch,3860147050449,0.43937653522414905,2
no_opt,g++,O1,256,256,32768,50,forward_vars,1263157137316,0.25058517445863515,2
no_opt,g++,O1,256,256,32768,50,backward_vars,1147211703440,0.27552946655807176,2
no_opt,g++,O1,256,256,32768,50,update_initial,838746284,0.02000269130253458,2
no_opt,g++,O1,256,256,32768,50,update_transition,946628817920,0.7803831307282583,2
no_opt,g++,O1,256,256,32768,50,update_emission,497448916457,0.6527082634827016,2
no_opt,g++,O1,256,256,65536,50,baum_welch,7291897512416,0.4651900888029762,2
no_opt,g++,O1,256,256,65536,50,forward_vars,2408450468499,0.2628484168700947,2
no_opt,g++,O1,256,256,65536,50,backward_vars,2209965491092,0.28605953793270456,2
no_opt,g++,O1,256,256,65536,50,update_initial,1679442262,0.01997948649931021,2
no_opt,g++,O1,256,256,65536,50,update_transition,1693319036970,0.8725274724234827,2
no_opt,g++,O1,256,256,65536,50,update_emission,969227623160,0.6699957802624458,2
